"","outcome","exposure","nsnp","b","se","pval","pmid","year","author","consortium","subcategory","ncase","ncontrol","sample_size","unit","sex","population"
"1","Father’s age at death","APOC3 inhibitor",1,0.045636442516269,0.0398765726681128,0.252440192037158,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"2","Father’s age at death","APOC3 inhibitor",1,0.045636442516269,0.0398973336342641,0.252687124056188,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"3","Mother’s age at death","APOC3 inhibitor",1,-0.0381790021691974,0.0443843817787419,0.38968430610645,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"4","Mother’s age at death","APOC3 inhibitor",1,-0.0381790021691974,0.0443974377732782,0.389823737536067,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"5","Parents' age at death","APOC3 inhibitor",1,-0.0622893709327549,0.0664459869848156,0.348530378448148,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"6","Parents' age at death","APOC3 inhibitor",1,-0.0622893709327549,0.0664692003517266,0.348698739034701,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"7","Top 1 % survival","APOC3 inhibitor",1,-0.0104770932754881,0.00732650759219089,0.152709677256767,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"8","Top 1 % survival","APOC3 inhibitor",1,-0.0104770932754881,0.00733246233516496,0.153043255213693,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,NA,"Males and females","European"
"9","Birth weight","APOC3 inhibitor",1,-0.0507592190889371,0.0304024780485681,0.0950034683720744,27680694,2016,"Horikoshi",NA,"Anthropometric",NA,NA,153781,NA,"Males and females","Mixed"
"10","Birth weight","APOC3 inhibitor",1,-0.0507592190889371,0.0303687635574837,0.0946370563859538,27680694,2016,"Horikoshi",NA,"Anthropometric",NA,NA,153781,NA,"Males and females","Mixed"
"11","Body fat","APOC3 inhibitor",1,-0.00390455531453362,0.0373101952277657,0.916652615524897,26833246,2016,"Lu",NA,"Anthropometric",NA,NA,100716,"SD","Males and females","European"
"12","Body fat","APOC3 inhibitor",1,-0.00390455531453362,0.0373103576964078,0.916652977139617,26833246,2016,"Lu",NA,"Anthropometric",NA,NA,100716,"SD","Males and females","European"
"13","Body mass index","APOC3 inhibitor",1,0.00824295010845987,0.0251637634328773,0.743235121479944,25673413,2015,"Locke AE","GIANT","Anthropometric",NA,NA,339224,"SD (kg/m^2)","Males and females","Mixed"
"14","Body mass index","APOC3 inhibitor",1,0.00824295010845987,0.0251626898047722,0.743224552275968,25673413,2015,"Locke AE","GIANT","Anthropometric",NA,NA,339224,"SD (kg/m^2)","Males and females","Mixed"
"15","Child birth length","APOC3 inhibitor",1,-0.0216919739696312,0.070718480765529,0.759043571704883,25281659,2015,"van der Valk RJ","EGG","Anthropometric",NA,NA,28459,"SD (cm)","Males and females","European"
"16","Child birth length","APOC3 inhibitor",1,-0.0216919739696312,0.0707158351409978,0.759034836237932,25281659,2015,"van der Valk RJ","EGG","Anthropometric",NA,NA,28459,"SD (cm)","Males and females","European"
"17","Child birth weight","APOC3 inhibitor",1,-0.0477223427331887,0.06941431670282,0.491767700760523,23202124,2013,"Horikoshi M","EGG","Anthropometric",NA,NA,26836,"g","Males and females","European"
"18","Child birth weight","APOC3 inhibitor",1,-0.0477223427331887,0.0694273606344262,0.491849072556795,23202124,2013,"Horikoshi M","EGG","Anthropometric",NA,NA,26836,"g","Males and females","European"
"19","Childhood obesity","APOC3 inhibitor",1,-0.268546637744035,0.226030368763557,0.234794089971226,22484627,2012,"Bradfield JP","EGG","Anthropometric",5530,8318,13848,"log odds","Males and females","European"
"20","Childhood obesity","APOC3 inhibitor",1,-0.268546637744035,0.226157193999618,0.23505665638812,22484627,2012,"Bradfield JP","EGG","Anthropometric",5530,8318,13848,"log odds","Males and females","European"
"21","Difference in height between adolescence and adulthood","APOC3 inhibitor",1,0.110724623524078,0.172948086333778,0.522030334928039,23449627,2013,"Cousminer","EGG","Anthropometric",NA,NA,4282,"SD","Males","European"
"22","Difference in height between adolescence and adulthood","APOC3 inhibitor",1,0.110724623524078,0.172919898421258,0.521962497777134,23449627,2013,"Cousminer","EGG","Anthropometric",NA,NA,4282,"SD","Males","European"
"23","Difference in height between childhood and adulthood","APOC3 inhibitor",1,0.0969675766707158,0.157320091098812,0.537649542773053,23449627,2013,"Cousminer","EGG","Anthropometric",NA,NA,5043,"SD","Males","European"
"24","Difference in height between childhood and adulthood","APOC3 inhibitor",1,0.0969675766707158,0.157296325073319,0.537588094346441,23449627,2013,"Cousminer","EGG","Anthropometric",NA,NA,5043,"SD","Males","European"
"25","Extreme body mass index","APOC3 inhibitor",1,-0.52060737527115,0.299709020290083,0.0823796285918344,23563607,2013,"Berndt SI","GIANT","Anthropometric",7962,8106,16068,"log odds","Males and females","European"
"26","Extreme body mass index","APOC3 inhibitor",1,-0.52060737527115,0.299349240780911,0.0820118223274952,23563607,2013,"Berndt SI","GIANT","Anthropometric",7962,8106,16068,"log odds","Males and females","European"
"27","Extreme height","APOC3 inhibitor",1,-0.286334056399132,0.286334056399132,0.317310507862914,23563607,2013,"Berndt SI","GIANT","Anthropometric",8097,8099,16196,"log odds","Males and females","European"
"28","Extreme height","APOC3 inhibitor",1,-0.286334056399132,0.286447882419018,0.317502850264424,23563607,2013,"Berndt SI","GIANT","Anthropometric",8097,8099,16196,"log odds","Males and females","European"
"29","Extreme waist-to-hip ratio","APOC3 inhibitor",1,-0.13882863340564,0.325403160411744,0.669644627621993,23563607,2013,"Berndt SI","GIANT","Anthropometric",4774,5481,10255,"log odds","Males and females","European"
"30","Extreme waist-to-hip ratio","APOC3 inhibitor",1,-0.13882863340564,0.325379609544469,0.669622132604936,23563607,2013,"Berndt SI","GIANT","Anthropometric",4774,5481,10255,"log odds","Males and females","European"
