"","outcome","exposure","method","nsnp","b","se","pval","Q","Q_df","Q_pval","egger_intercept","egger_intercept_se","egger_intercept_pval","pmid","year","author","consortium","subcategory","ncase","ncontrol","sample_size","unit","sd","sex","population"
"1","Father’s age at death","Lp(a)","Wald ratio",1,0.0187997727272727,0.00631643181818182,0.00291722693704832,NA,NA,NA,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"2","Mother’s age at death","Lp(a)","Wald ratio",1,0.00488106060606061,0.00705193939393939,0.488837724872208,NA,NA,NA,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"3","Parents' age at death","Lp(a)","Wald ratio",1,0.0505987878787879,0.0104358333333333,1.24359487663793e-06,NA,NA,NA,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"4","Top 1 % survival","Lp(a)","Wald ratio",1,0.00209118939393939,0.001192,0.0793699506856872,NA,NA,NA,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"log odds",NA,"Males and females","European"
"5","Birth length","Lp(a)","Wald ratio",1,-0.0300757575757576,0.0190909090909091,0.115164876721782,NA,NA,NA,NA,NA,NA,25281659,2015,"van der Valk RJ","EGG","Anthropometric",NA,NA,28459,"SD (cm)",1.96,"Males and females","European"
"6","Birth weight","Lp(a)","Wald ratio",1,-0.00378787878787879,0.00568181818181818,0.504985075093846,NA,NA,NA,NA,NA,NA,27680694,2016,"Horikoshi",NA,"Anthropometric",NA,NA,153781,"SD",NA,"Males and females","Mixed"
"7","Body fat","Lp(a)","Wald ratio",1,0.026969696969697,0.0116666666666667,0.0207948659716683,NA,NA,NA,NA,NA,NA,26833246,2016,"Lu",NA,"Anthropometric",NA,NA,100716,"SD",NA,"Males and females","European"
"8","Body mass index","Lp(a)","Wald ratio",1,0.0137121212121212,0.00727272727272727,0.0593736055923928,NA,NA,NA,NA,NA,NA,25673413,2015,"Locke AE","GIANT","Anthropometric",NA,NA,339224,"SD (kg/m^2)",4.77,"Males and females","Mixed"
"9","Childhood obesity","Lp(a)","Wald ratio",1,-0.0348484848484848,0.0526515151515152,0.508054216876709,NA,NA,NA,NA,NA,NA,22484627,2012,"Bradfield JP","EGG","Anthropometric",5530,8318,13848,"log odds",NA,"Males and females","European"
"10","Difference in height between adolescence and adulthood","Lp(a)","Wald ratio",1,0.000705368885609848,0.0464996341898485,0.987897079843403,NA,NA,NA,NA,NA,NA,23449627,2013,"Cousminer","EGG","Anthropometric",NA,NA,4282,"SD",NA,"Males","European"
"11","Difference in height between childhood and adulthood","Lp(a)","Wald ratio",1,-0.0282888024118182,0.0404669416286364,0.484514809859888,NA,NA,NA,NA,NA,NA,23449627,2013,"Cousminer","EGG","Anthropometric",NA,NA,5043,"SD",NA,"Males","European"
"12","Height","Lp(a)","Wald ratio",1,-0.0106060606060606,0.00590909090909091,0.0726741286768933,NA,NA,NA,NA,NA,NA,25282103,2014,"Wood AR","GIANT","Anthropometric",NA,NA,253288,"SD (m)",0.0699,"Males and females","European"
"13","Hip circumference","Lp(a)","Wald ratio",1,-0.00325757575757576,0.00909090909090909,0.720093875656711,NA,NA,NA,NA,NA,NA,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD (cm)",8.4548,"Males and females","Mixed"
"14","Infant head circumference","Lp(a)","Wald ratio",1,0.0154545454545455,0.0275,0.574127280760313,NA,NA,NA,NA,NA,NA,22504419,2012,"Taal HR","EGG","Anthropometric",NA,NA,10768,"SD (cm)",1.519535027,"Males and females","European"
"15","Obesity class 1","Lp(a)","Wald ratio",1,0.0189393939393939,0.0257575757575758,0.462160389897216,NA,NA,NA,NA,NA,NA,23563607,2013,"Berndt SI","GIANT","Anthropometric",32858,65839,98697,"log odds",NA,"Males and females","European"
"16","Obesity class 2","Lp(a)","Wald ratio",1,0.0568181818181818,0.0462121212121212,0.218881326542939,NA,NA,NA,NA,NA,NA,23563607,2013,"Berndt SI","GIANT","Anthropometric",9889,62657,72546,"log odds",NA,"Males and females","European"
"17","Obesity class 3","Lp(a)","Wald ratio",1,0.0621212121212121,0.0833333333333333,0.455996980015239,NA,NA,NA,NA,NA,NA,23563607,2013,"Berndt SI","GIANT","Anthropometric",2896,47468,50364,"log odds",NA,"Males and females","European"
"18","Overweight","Lp(a)","Wald ratio",1,0.0113636363636364,0.0174242424242424,0.514288986716092,NA,NA,NA,NA,NA,NA,23563607,2013,"Berndt SI","GIANT","Anthropometric",93015,65840,158855,"log odds",NA,"Males and females","European"
"19","Sitting height ratio","Lp(a)","Wald ratio",1,-0.0272727272727273,0.0166666666666667,0.101763504951258,NA,NA,NA,NA,NA,NA,25865494,2015,"Chan",NA,"Anthropometric",NA,NA,21590,"SD",NA,"Males and females","European"
