"","Pubmed ID","Phenotypes","First author","Year","Consortium","No. GWAS analyses","No. cases","No. controls","Sample size","Category","Subcategory","Access"
"1",20081857,"2hr glucose","Saxena R",2010,"MAGIC",1,NA,NA,15234,"Risk factor","Glycemic","public"
"2",22885924,"2hr glucose, Fasting glucose, Fasting insulin","Scott",2013,"MAGIC",4,NA,NA,42854,"Risk factor","Glycemic","public"
"3",27005778,"Acetoacetate, Acetate, Alanine, Albumin, Apolipoprotein A-I, Apolipoprotein B, Ratio of bisallylic groups to double bonds, Ratio of bisallylic groups to total fatty acids, 3-hydroxybutyrate, Average number of methylene groups per double bond, Average number of methylene groups in a fatty acid chain, Citrate, Creatinine, Average number of double bonds in a fatty acid chain, 22:6, docosahexaenoic acid, Free cholesterol to esterified cholesterol ratio, Description of average fatty acid chain length, not actual carbon number, Omega-3 fatty acids, Omega-6 fatty acids, Omega-9 and saturated fatty acids, Free cholesterol, Glucose, Glutamine, Glycerol, Glycoproteins, Glycoprotein acetyls, Total cholesterol in HDL, Mean diameter for HDL particles, Histidine, Total cholesterol in IDL, Free cholesterol in IDL, Total lipids in IDL, Concentration of IDL particles, Phospholipids in IDL, Triglycerides in IDL, Isoleucine, Total cholesterol in large HDL, Cholesterol esters in large HDL, Free cholesterol in large HDL, Total lipids in large HDL, Concentration of large HDL particles, Phospholipids in large HDL, Total cholesterol in large LDL, Cholesterol esters in large VLDL, Free cholesterol in large LDL, Total lipids in large LDL, Concentration of large LDL particles, Phospholipids in large LDL, Total cholesterol in large VLDL, Free cholesterol in large VLDL, Total lipids in large VLDL, Concentration of large VLDL particles, Phospholipids in large VLDL, Triglycerides in large VLDL, 18:2, linoleic acid (LA), Lactate, Total cholesterol in LDL, Mean diameter for LDL particles, Leucine, Total cholesterol in medium HDL, Cholesterol esters in medium HDL, Free cholesterol in medium HDL, Total lipids in medium HDL, Concentration of medium HDL particles, Phospholipids in medium HDL, Total cholesterol in medium LDL, Cholesterol esters in medium LDL, Total lipids in medium LDL, Concentration of medium LDL particles, Phospholipids in medium LDL, Total cholesterol in medium VLDL, Cholesterol esters in medium VLDL, Free cholesterol in medium VLDL, Total lipids in medium VLDL, Concentration of medium VLDL particles, Phospholipids in medium VLDL, Triglycerides in medium VLDL, Mono-unsaturated fatty acids, Other polyunsaturated fatty acids than 18:2, Phosphatidylcholine and other cholines, Phenylalanine, Pyruvate, Total lipids in small HDL, Concentration of small HDL particles, Triglycerides in small HDL, Total cholesterol in small LDL, Total lipids in small LDL, Concentration of small LDL particles, Total cholesterol in small VLDL, Free cholesterol in small VLDL, Total lipids in small VLDL, Concentration of small VLDL particles, Phospholipids in small VLDL, Triglycerides in small VLDL, Serum total cholesterol, Serum total triglycerides, Sphingomyelins, Total fatty acids, Total phosphoglycerides, Tyrosine, Urea, Valine, Mean diameter for VLDL particles, Total cholesterol in very large HDL, Cholesterol esters in very large HDL, Free cholesterol in very large HDL, Total lipids in very large HDL, Concentration of very large HDL particles, Phospholipids in very large HDL, Triglycerides in very large HDL, Total lipids in very large VLDL, Concentration of very large VLDL particles, Phospholipids in very large VLDL, Triglycerides in very large VLDL, Total lipids in very small VLDL, Concentration of very small VLDL particles, Phospholipids in very small VLDL, Triglycerides in very small VLDL, Total lipids in chylomicrons and largest VLDL particles, Concentration of chylomicrons and largest VLDL particles, Phospholipids in chylomicrons and largest VLDL particles, Triglycerides in chylomicrons and largest VLDL particles","Kettunen",2016,"",123,NA,NA,19262,"Metabolites","Keto acid","public"
"4",27663945,"ADHD","Middeldorp",2016,"EAGLE",2,NA,NA,17666,"Disease","Psychiatric / neurological","public"
"5",22479202,"Adiponectin","Dastani Z",2012,"ADIPOGen",1,NA,NA,39883,"Risk factor","Protein","public"
"6",23455636,"Advanced age related macular degeneration, Geographic atrophy age related macular degeneration, Neovascular age related macular degeneration","Fritsche LG",2013,"AMDGene",3,7650,51844,59494,"Disease","Eye","public"
"7",25231870,"Age at menarche","Perry JR",2014,"ReproGen",1,NA,NA,182416,"Risk factor","Reproductive aging","public"
"8",26414677,"Age at menopause","Day",2015,"ReproGen",1,NA,NA,69360,"Risk factor","Reproductive aging","public"
"9",26087016,"Aggression","Pappa",2016,"EAGLE",1,NA,NA,18988,"Disease","Psychiatric / neurological","public"
"10",22978509,"Alcohol dependence","Olfson",2012,"",1,1897,1932,3829,"Risk factor","Behavioural","public"
"11",17998437,"Alzheimer's disease","Li H",2008,"",1,753,736,1489,"Disease","Psychiatric / neurological","public"
"12",24162737,"Alzheimer's disease","Lambert",2013,"IGAP",2,17008,37154,54162,"Disease","Psychiatric / neurological","public"
"13",27455348,"Amyotrophic lateral sclerosis","van Rheenen",2016,"Project MinE",2,12577,23475,36052,"Disease","Psychiatric / neurological","public"
